"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES" 
"Feb 14, 2023 12:16 PM","(-) Expense","50000.00","Gas","Daily Driver","shell vpower" 
"Feb 14, 2023 12:17 PM","(-) Expense","20000.00","Transportation","Daily Driver","gocar" 
"Feb 14, 2023 12:17 PM","(-) Expense","50000.00","Utilities","Daily Driver","uang kebersihan diora" 
"Feb 14, 2023 2:14 PM","(-) Expense","11000.00","Admin fee","Daily Driver","admin" 
"Feb 15, 2023 5:37 PM","(+) Income","120000.00","Gift","Daily Driver","uang bayi pita" 
"Feb 15, 2023 5:38 PM","(-) Expense","20000.00","Transportation","Daily Driver","grab" 
"Feb 16, 2023 12:05 AM","(-) Expense","62500.00","Food","Daily Driver","seafood" 
"Feb 16, 2023 12:07 AM","(-) Expense","250000.00","Gift","Daily Driver","uang hidup pita" 
"Feb 16, 2023 12:10 AM","(-) Expense","2500.00","Admin fee","Daily Driver","trf banj" 
"Feb 20, 2023 12:05 PM","(-) Expense","50000.00","Transportation","Daily Driver","gopay" 
"Feb 20, 2023 12:06 PM","(-) Expense","15000.00","Admin fee","Daily Driver","admin" 
"Feb 20, 2023 12:06 PM","(+) Income","176000.00","Gift","Daily Driver","gift from pops" 
"Feb 27, 2023 8:09 PM","(-) Expense","294673.00","cash out","Daily Driver","" 
"Feb 27, 2023 8:09 PM","(-) Expense","366500.00","cash out","Fun Funds","" 
"Feb 27, 2023 8:09 PM","(-) Expense","45000.00","cash out","Cash","" 
"Feb 27, 2023 9:23 PM","(+) Income","1050000.00","House Income","Daily Driver","pops" 
"Feb 27, 2023 9:23 PM","(+) Income","1000000.00","House Income","Fun Funds","pops" 
"Feb 27, 2023 9:23 PM","(+) Income","439000.00","House Income","Daily Driver","pops" 
"Feb 27, 2023 9:24 PM","(-) Expense","439000.00","Savings","Daily Driver","snp500" 
"Feb 27, 2023 9:24 PM","(+) Income","90000.00","Reimbursements","Daily Driver","wifi ikbar" 
"Feb 27, 2023 9:25 PM","(-) Expense","355000.00","Engredients Shopping","Daily Driver","" 
"Feb 27, 2023 9:25 PM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Feb 28, 2023 10:01 AM","(-) Expense","16000.00","Food","Fun Funds","latte teras koka" 
"Feb 28, 2023 10:10 AM","(-) Expense","10000.00","Food","Fun Funds","kopi capucino" 
"Feb 28, 2023 5:49 PM","(+) Income","1000000.00","House Income","Daily Driver","pita" 
"Mar 01, 2023 7:57 AM","(-) Expense","109000.00","Social","Daily Driver","biliar" 
"Mar 01, 2023 10:00 AM","(-) Expense","65000.00","Home Purchases","Daily Driver","sabun" 
"Mar 01, 2023 11:25 AM","(+) Income","150000.00","Reimbursements","Fun Funds","tab taveling" 
"Mar 01, 2023 11:25 AM","(-) Expense","80245.00","Transportation","Fun Funds","kereta bdg ckr" 
"Mar 01, 2023 11:28 AM","(-) Expense","37000.00","Electronics","Fun Funds","win 11 pro" 
"Mar 01, 2023 10:32 PM","(-) Expense","21000.00","Food","Daily Driver","darso" 
"Mar 02, 2023 12:25 PM","(-) Expense","50000.00","Transportation","Daily Driver","gopay" 
"Mar 03, 2023 4:59 PM","(-) Expense","32200.00","Food","Fun Funds","kopi kozi" 
"Mar 03, 2023 4:59 PM","(-) Expense","160000.00","Transportation","Fun Funds","kereta ckr bdg" 
"Mar 04, 2023 5:29 PM","(-) Expense","20000.00","Food","Fun Funds","kopi" 
"Mar 04, 2023 5:29 PM","(-) Expense","15000.00","Transportation","Fun Funds","transport" 
"Mar 05, 2023 10:40 AM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Mar 05, 2023 10:41 AM","(-) Expense","39000.00","Medicine","Daily Driver","obat merah dan hansaplast" 
"Mar 05, 2023 8:10 PM","(-) Expense","72800.00","Food","Fun Funds","smara coffee and tofu" 
"Mar 05, 2023 8:11 PM","(-) Expense","35000.00","Beauty","Fun Funds","senka" 
"Mar 05, 2023 8:11 PM","(-) Expense","49000.00","Food","Fun Funds","lumintu" 
"Mar 05, 2023 8:11 PM","(-) Expense","54000.00","Food","Fun Funds","" 
"Mar 05, 2023 8:29 PM","(-) Expense","96900.00","Food","Daily Driver","yomart, sereal susu dsb" 
"Mar 07, 2023 8:19 AM","(-) Expense","84000.00","cash out","Daily Driver","pita cash" 
"Mar 07, 2023 8:20 AM","(-) Expense","30000.00","Food","Daily Driver","" 
"Mar 07, 2023 8:21 AM","(-) Expense","9000.00","Admin fee","Daily Driver","" 
"Mar 07, 2023 8:48 AM","(-) Expense","185000.00","Home Purchases","Daily Driver","biznet" 
"Mar 07, 2023 9:12 AM","(-) Expense","52000.00","Gift","Fun Funds","kopi buat ojan dan cepa" 
"Mar 07, 2023 9:13 AM","(-) Expense","52500.00","Food","Fun Funds","breakfast oxygym" 
"Mar 08, 2023 8:56 AM","(+) Income","30000.00","Gift","Daily Driver","gift from pops" 
"Mar 08, 2023 1:28 PM","(+) Income","1000000.00","Gift","Daily Driver","buat transport lebaran dari papa" 
"Mar 08, 2023 1:28 PM","(-) Expense","467000.00","Transportation","Daily Driver","kereta bdg yk" 
"Mar 08, 2023 1:31 PM","(-) Expense","20000.00","Food","Daily Driver","wargot" 
"Mar 08, 2023 1:32 PM","(-) Expense","2000.00","Admin fee","Daily Driver","" 
"Mar 08, 2023 1:33 PM","(-) Expense","225000.00","Engredients Shopping","Daily Driver","qyam uki" 
"Mar 08, 2023 7:22 PM","(-) Expense","31000.00","Home Purchases","Daily Driver","kunci gerbang" 
"Mar 09, 2023 6:43 AM","(-) Expense","75000.00","Sport","Daily Driver","gym" 
"Mar 09, 2023 1:50 PM","(+) Income","135000.00","Reimbursements","Daily Driver","ayam nanda" 
"Mar 09, 2023 1:50 PM","(-) Expense","135000.00","cash out","Daily Driver","cash" 
"Mar 10, 2023 1:09 PM","(-) Expense","20000.00","Food","Fun Funds","hot capp" 
"Mar 10, 2023 1:10 PM","(-) Expense","20000.00","Gift","Fun Funds","kopi buat pak arie" 
"Mar 10, 2023 1:10 PM","(-) Expense","100500.00","Food","Fun Funds","steak tsm" 
"Mar 10, 2023 1:10 PM","(-) Expense","4000.00","Admin fee","Fun Funds","" 
"Mar 11, 2023 4:08 PM","(-) Expense","503501.00","Transportation","Daily Driver","kereta yk bdg" 
"Mar 11, 2023 4:10 PM","(-) Expense","143000.00","Gas","Daily Driver","" 
"Mar 11, 2023 4:10 PM","(-) Expense","254264.00","Engredients Shopping","Daily Driver","yogya bojong" 
"Mar 11, 2023 4:13 PM","(-) Expense","49900.00","cash out","Daily Driver","turrangga" 
"Mar 11, 2023 4:14 PM","(-) Expense","100000.00","Home Purchases","Daily Driver","listrik" 
"Mar 11, 2023 4:14 PM","(+) Income","54000.00","Reimbursements","Daily Driver","jajan" 
"Mar 11, 2023 5:22 PM","(*) Transfer","15000.00","  -  ","Fun Funds->Daily Driver","" 
"Mar 11, 2023 5:22 PM","(-) Expense","20000.00","Food","Fun Funds","alumni kopi" 
"Mar 11, 2023 5:23 PM","(*) Transfer","135000.00","  -  ","Fun Funds->Daily Driver","" 
"Mar 17, 2023 7:23 AM","(-) Expense","49000.00","Gift","Fun Funds","gopay pita" 
"Mar 18, 2023 1:07 PM","(-) Expense","20000.00","Food","Daily Driver","esteh" 
"Mar 20, 2023 6:24 PM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Mar 22, 2023 12:59 PM","(-) Expense","25000.00","Food","Fun Funds","kopi" 
"Mar 22, 2023 6:23 PM","(-) Expense","30000.00","Gas","Daily Driver","bensin scoopy" 
"Mar 22, 2023 6:24 PM","(-) Expense","20000.00","Food","Fun Funds","warkop" 
"Mar 23, 2023 6:23 PM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Mar 23, 2023 6:24 PM","(-) Expense","30000.00","Food","Fun Funds","lumintu" 
"Mar 24, 2023 6:24 PM","(-) Expense","20000.00","Food","Fun Funds","warkop" 
"Mar 26, 2023 12:57 PM","(+) Income","2500000.00","House Income","Daily Driver","dari pops" 
"Mar 26, 2023 12:58 PM","(+) Income","100000.00","Gift","Daily Driver","pita" 
"Mar 26, 2023 4:10 PM","(-) Expense","400000.00","Savings","Daily Driver","travel savings" 
"Mar 28, 2023 4:10 PM","(-) Expense","100000.00","cash out","Daily Driver","gopay" 
"Mar 28, 2023 4:11 PM","(*) Transfer","1000000.00","  -  ","Daily Driver->Fun Funds","" 
"Mar 28, 2023 4:13 PM","(-) Expense","55000.00","Medicine","Daily Driver","shopeepay" 
"Mar 28, 2023 4:14 PM","(-) Expense","305000.00","Engredients Shopping","Daily Driver","yogya" 
"Mar 29, 2023 8:00 PM","(-) Expense","225000.00","Entertainment","Fun Funds","sea of thieves" 
"Mar 29, 2023 8:01 PM","(-) Expense","30000.00","Food","Fun Funds","es kelapa muda" 
"Mar 29, 2023 8:02 PM","(-) Expense","335000.00","Food","Fun Funds","genki" 
"Mar 30, 2023 11:47 AM","(+) Income","1100000.00","House Income","Daily Driver","uang bulanan pita" 
"Mar 30, 2023 1:47 PM","(+) Income","1733000.00","Professional Income","Daily Driver","momomedia" 
"Mar 30, 2023 1:47 PM","(-) Expense","1000000.00","Savings","Daily Driver","dana darurat" 
"Mar 30, 2023 1:47 PM","(-) Expense","500000.00","Savings","Daily Driver","snp500" 
"Mar 30, 2023 1:48 PM","(-) Expense","200000.00","Savings","Daily Driver","travel saving" 
"Mar 31, 2023 8:36 AM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Mar 31, 2023 8:36 AM","(-) Expense","35000.00","Electronics","Daily Driver","book reader premium" 
"Mar 31, 2023 8:37 AM","(-) Expense","31000.00","Admin fee","Daily Driver","cumulative administration" 
"Apr 01, 2023 7:43 PM","(-) Expense","50000.00","cash out","Daily Driver","cash" 
"Apr 01, 2023 7:43 PM","(-) Expense","12500.00","Food","Daily Driver","hydro coco" 
"Apr 01, 2023 7:46 PM","(-) Expense","152500.00","Bike repairs","Daily Driver","bengkel skupi" 
"Apr 03, 2023 9:34 AM","(-) Expense","100000.00","Sport","Daily Driver","gym tweak" 
"Apr 03, 2023 9:34 AM","(-) Expense","100000.00","Sport","Fun Funds","gym tweak" 
"Apr 04, 2023 6:04 AM","(-) Expense","20000.00","Food","Daily Driver","dana warkop" 
